filename,width,height,filesize,format
/Users/yaroslavtsybulskyi/Downloads/Megathrone/Screenshot 2025-01-17 at 16.43.17.png,1652,156,"(1652, 156)",PNG
/Users/yaroslavtsybulskyi/Downloads/Megathrone/Screenshot 2025-01-14 at 16.50.05.png,2498,230,"(2498, 230)",PNG
/Users/yaroslavtsybulskyi/Downloads/Megathrone/Screenshot 2025-01-17 at 19.27.20.png,2098,200,"(2098, 200)",PNG
filename,width,height,filesize,format
/Users/yaroslavtsybulskyi/Downloads/Megathrone/Screenshot 2025-01-17 at 16.43.17.png,1652,156,"(1652, 156)",PNG
/Users/yaroslavtsybulskyi/Downloads/Megathrone/Screenshot 2025-01-14 at 16.50.05.png,2498,230,"(2498, 230)",PNG
/Users/yaroslavtsybulskyi/Downloads/Megathrone/Screenshot 2025-01-17 at 19.27.20.png,2098,200,"(2098, 200)",PNG
filename,width,height,filesize,format
/Users/yaroslavtsybulskyi/Downloads/Megathrone/Screenshot 2025-01-17 at 16.43.17.png,1652,156,"(1652, 156)",PNG
/Users/yaroslavtsybulskyi/Downloads/Megathrone/Screenshot 2025-01-14 at 16.50.05.png,2498,230,"(2498, 230)",PNG
/Users/yaroslavtsybulskyi/Downloads/Megathrone/Screenshot 2025-01-17 at 19.27.20.png,2098,200,"(2098, 200)",PNG
